Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;Location
Hemidactylus;sinaitus;Hemidactylus_sinaitus;Hemidactylus sinaitus;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;smithi;Hemidactylus_smithi;Hemidactylus smithi;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;somalicus;Hemidactylus_somalicus;Hemidactylus somalicus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;squamulatus;Hemidactylus_squamulatus;Hemidactylus squamulatus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;triedrus;Hemidactylus_triedrus;Hemidactylus triedrus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;turcicus;Hemidactylus_turcicus;Hemidactylus turcicus;Genus Hajars;0;1;0;1;No Arabia
Hemidactylus;ulii;Hemidactylus_ulii;Hemidactylus ulii;Genus Hajars;0;1;1;0;Arabia
Hemidactylus;yerburii;Hemidactylus_yerburii;Hemidactylus yerburii;Genus Hajars;0;1;1;0;Arabia
Homalopsis;buccata;Homalopsis_buccata;Homalopsis buccata;Backbone;0;1;0;1;No Arabia
Hydrosaurus;amboinensis;Hydrosaurus_amboinensis;Hydrosaurus amboinensis;Backbone;0;1;0;1;No Arabia
Indotyphlops;braminus;Indotyphlops_braminus;Indotyphlops braminus;Backbone;0;1;0;1;No Arabia
Intellagama;lesueurii;Intellagama_lesueurii;Intellagama lesueurii;Backbone;0;1;0;1;No Arabia
Lanthanotus;borneensis;Lanthanotus_borneensis;Lanthanotus borneensis;Backbone;0;1;0;1;No Arabia
Leiocephalus;barahonensis;Leiocephalus_barahonensis;Leiocephalus barahonensis;Backbone;0;1;0;1;No Arabia
Leiolepis;belliana;Leiolepis_belliana;Leiolepis belliana;Backbone;0;1;0;1;No Arabia
Liotyphlops;albirostris;Liotyphlops_albirostris;Liotyphlops albirostris;Backbone;0;1;0;1;No Arabia
Loxocemus;bicolor;Loxocemus_bicolor;Loxocemus bicolor;Backbone;0;1;0;1;No Arabia
Lytorhynchus;diadema;Lytorhynchus_diadema;Lytorhynchus diadema;Backbone;0;1;1;0;Arabia
Macrovipera;lebetina;Macrovipera_lebetina;Macrovipera lebetina;Backbone Eastern mediterranean;0;1;0;1;No Arabia
Malayopython;reticulatus;Malayopython_reticulatus;Malayopython reticulatus;Backbone;0;1;0;1;No Arabia
Malpolon;moilensis;Malpolon_moilensis;Malpolon moilensis;Backbone;0;1;1;0;Arabia
Mesalina;adramitana;Mesalina_adramitana;Mesalina adramitana;Genus Hajars;0;1;1;0;Arabia
Mesalina;austroarabica;Mesalina_austroarabica;Mesalina austroarabica;Genus Hajars;0;1;1;0;Arabia
Mesalina;brevirostris;Mesalina_brevirostris;Mesalina brevirostris;Genus Hajars;0;1;1;0;Arabia
Myriopholis;macrorhyncha;Myriopholis_macrorhyncha;Myriopholis macrorhyncha;Backbone;0;1;1;0;Arabia
Naja;kaouthia;Naja_kaouthia;Naja kaouthia;Backbone;0;1;0;1;No Arabia
Naja;nigricollis;Naja_nigricollis;Naja nigricollis;Backbone;0;1;0;1;No Arabia
Namazonurus;namaquensis;Namazonurus_namaquensis;Namazonurus namaquensis;Backbone;0;1;0;1;No Arabia
Naultinus;gemmeus;Naultinus_gemmeus;Naultinus gemmeus;Backbone;0;1;0;1;No Arabia
Oedodera;marmorata;Oedodera_marmorata;Oedodera marmorata;Backbone;0;1;0;1;No Arabia
Omanosaura;cyanura;Omanosaura_cyanura;Omanosaura cyanura;Hajars;1;0;1;0;Arabia
Omanosaura;jayakari;Omanosaura_jayakari;Omanosaura jayakari;Hajars;1;0;1;0;Arabia
Pareas;carinatus;Pareas_carinatus;Pareas carinatus;Backbone;0;1;0;1;No Arabia
Petrosaurus;mearnsi;Petrosaurus_mearnsi;Petrosaurus mearnsi;Backbone;0;1;0;1;No Arabia
Phelsuma;inexpectata;Phelsuma_inexpectata;Phelsuma inexpectata;Backbone;0;1;0;1;No Arabia
Phelsuma;ornata;Phelsuma_ornata;Phelsuma ornata;Backbone;0;1;0;1;No Arabia
Phrynosoma;cornutum;Phrynosoma_cornutum;Phrynosoma cornutum;Backbone;0;1;0;1;No Arabia
Phymaturus;palluma;Phymaturus_palluma;Phymaturus palluma;Backbone;0;1;0;1;No Arabia
Platyceps;rhodorachis;Platyceps_rhodorachis;Platyceps  rhodorachis;HAJARS_no_endem;0;1;1;0;Arabia
Plica;plica;Plica_plica;Plica plica;Backbone;0;1;0;1;No Arabia
Podarcis;lilfordi;Podarcis_lilfordi;Podarcis lilfordi;Backbone;0;1;0;1;No Arabia
Podarcis;pityusensis;Podarcis_pityusensis;Podarcis pityusensis;Backbone;0;1;0;1;No Arabia
Pogona;vitticeps;Pogona_vitticeps;Pogona vitticeps;Backbone;0;1;0;1;No Arabia
Polychrus;marmoratus;Polychrus_marmoratus;Polychrus marmoratus;Backbone;0;1;0;1;No Arabia
Porthidium;arcosae;Porthidium_arcosae;Porthidium arcosae;Backbone;0;1;0;1;No Arabia
Porthidium;nasutum;Porthidium_nasutum;Porthidium nasutum;Backbone;0;1;0;1;No Arabia
Pristurus;abdelkuri;Pristurus_abdelkuri;Pristurus abdelkuri;Genus Hajars;0;1;0;1;No Arabia
Pristurus;adrarensis;Pristurus_adrarensis;Pristurus adrarensis;Genus Hajars;0;1;0;1;No Arabia
Pristurus;carteri;Pristurus_carteri;Pristurus carteri;Genus Hajars;0;1;1;0;Arabia
