Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;;;;;;;;
Pristurus;popovi;Pristurus_popovi;Pristurus popovi;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;rupestris;Pristurus_rupestris;Pristurus rupestris;Hajars;1;0;1;0;;;;;;;;
Pristurus;samhaensis;Pristurus_samhaensis;Pristurus samhaensis;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sokotranus;Pristurus_sokotranus;Pristurus sokotranus;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;somalicus;Pristurus_somalicus;Pristurus somalicus;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sp1;Pristurus_sp1;Pristurus sp1;Genus Hajars;0;1;1;0;;;;;;;;
Pristurus;sp10;Pristurus_sp10;Pristurus sp10;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sp11;Pristurus_sp11;Pristurus sp11;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sp12;Pristurus_sp12;Pristurus sp12;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sp2;Pristurus_sp2;Pristurus sp2;Hajars;1;0;1;0;;;;;;;;
Pristurus;sp3;Pristurus_sp3;Pristurus sp3;Hajars;1;0;1;0;;;;;;;;
Pristurus;sp4;Pristurus_sp4;Pristurus sp4;Hajars;1;0;1;0;;;;;;;;
Pristurus;sp5;Pristurus_sp5;Pristurus sp5;Hajars;1;0;1;0;;;;;;;;
Pristurus;sp6;Pristurus_sp6;Pristurus sp6;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sp7;Pristurus_sp7;Pristurus sp7;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sp8;Pristurus_sp8;Pristurus sp8;Genus Hajars;0;1;0;1;;;;;;;;
Pristurus;sp9;Pristurus_sp9;Pristurus sp9;Genus Hajars;0;1;1;0;;;;;;;;
Psammodromus;algirus;Psammodromus_algirus;Psammodromus algirus;Backbone;0;1;0;1;;;;;;;;
Psammophis;schokari;Psammophis_schokari;Psammophis schokari;Backbone;0;1;1;0;;;;;;;;
Pseudocerastes;persicus;Pseudocerastes_persicus;Pseudocerastes persicus;HAJARS_no_endem;0;1;1;0;;;;;;;;
Pseudotrapelus;aqabensis;Pseudotrapelus_aqabensis;Pseudotrapelus aqabensis;Genus Hajars;0;1;1;0;;;;;;;;
Pseudotrapelus;chlodnickii;Pseudotrapelus_chlodnickii;Pseudotrapelus chlodnickii;Genus Hajars;0;1;0;1;;;;;;;;
